State,MONTH,YEAR,MAX(cse6242.AK_1.DailyAverageDryBulbTemperature),MAX(cse6242.AK_1.DailyAverageWetBulbTemperature),MAX(cse6242.AK_1.DailyAverageRelativeHumidity),MAX(cse6242.AK_1.DailyAverageWindSpeed),MAX(cse6242.AK_1.DailyCollingDegreeDays),MAX(cse6242.AK_1.DailyDepartureFromNormalAverageTemperature),MAX(cse6242.AK_1.DailyHeatingDegreeDays),MAX(cse6242.AK_1.DailyPrecipitation),MAX(cse6242.AK_1.DailySnowfall),MAX(cse6242.AK_1.MonthlyMeanTemperature),MAX(cse6242.AK_1.NormalsCoolingDegreeDay),MAX(cse6242.AK_1.NormalsHeatingDegreeDay)
AK,1,2010,48,9.0,99.0,35.9,,,,,,,,
AK,2,2010,49,9.0,99.0,32.4,,,,,,,,
AK,3,2010,44,9.0,99.0,30.7,,,,,,,,
AK,4,2010,58,9.0,95.0,32,,,,,,,,
AK,5,2010,69,9.0,97.0,32.8,,,,,,,,
AK,6,2010,68,58.0,98.0,32.8,,,,,,,,
AK,7,2010,72,59.0,99.0,28.8,,,,,,,,
AK,8,2010,77,62.0,99.0,25.5,,,,,,,,
AK,9,2010,69,54.0,99.0,29.3,,,,,,,,
AK,10,2010,56,6.0,97.0,40.5,,,,,,,,
AK,11,2010,53,9.0,99.0,39.1,,,,,,,,
AK,12,2010,48,9.0,98.0,44.2,,,,,,,,
AK,1,2011,45,9.0,99.0,39.7,,,,,,,,
AK,2,2011,47,9.0,98.0,40.1,,,,,,,,
AK,3,2011,47,9.0,96.0,32.6,,,,,,,,
AK,4,2011,50,9.0,97.0,34.3,,,,,,,,
AK,5,2011,72,9.0,96.0,32.7,,,,,,,,
AK,6,2011,74,60.0,97.0,34.7,,,,,,,,
AK,7,2011,70,60.0,99.0,29.9,,,,,,,,
AK,8,2011,65,59.0,99.0,29.7,,,,,,,,
AK,9,2011,60,58.0,99.0,35.2,,,,,,,,
AK,10,2011,51,9.0,98.0,42,,,,,,,,
AK,11,2011,46,9.0,99.0,41.3,,,,,,,,
AK,12,2011,44,9.0,99.0,41.8,,,,,,,,
AK,1,2012,42,9.0,97.0,33.2,,,,,,,,
AK,2,2012,54,9.0,96.0,35.8,,,,,,,,
AK,3,2012,45,9.0,97.0,30.6,,,,,,,,
AK,4,2012,51,9.0,95.0,25.3,,,,,,,,
AK,5,2012,61,8.0,97.0,24.2,,,,,,,,
AK,6,2012,71,59.0,97.0,31.4,,,,,,,,
AK,7,2012,68,60.0,98.0,24.2,,,,,,,,
AK,8,2012,67,58.0,99.0,28,,,,,,,,
AK,9,2012,62,55.0,98.0,33.3,,,,,,,,
AK,10,2012,55,9.0,99.0,29,,,,,,,,
AK,11,2012,46,9.0,99.0,40.9,,,,,,,,
AK,12,2012,43,9.0,97.0,41.7,,,,,,,,
AK,1,2013,44,9.0,99.0,40,,,,,,,,
AK,2,2013,41,9.0,99.0,33,,,,,,,,
AK,3,2013,42,9.0,98.0,37,,,,,,,,
AK,4,2013,45,9.0,98.0,34.5,,,,,,,,
AK,5,2013,69,9.0,98.0,29.2,,,,,,,,
AK,6,2013,81,64.0,99.0,21.6,,,,,,,,
AK,7,2013,72,62.0,98.0,21.9,,,,,,,,
AK,8,2013,71,60.0,99.0,23,,,,,,,,
AK,9,2013,62,58.0,99.0,31.9,,,,,,,,
AK,10,2013,56,,,25.6,,,,,,,,
AK,11,2013,52,9.0,99.0,38,,,,,,,,
AK,12,2013,50,9.0,99.0,35.6,,,,,,,,
AK,1,2014,52,9.0,99.0,35.5,,,,,,,,
AK,2,2014,46,9.0,99.0,36.9,,,,,,,,
AK,3,2014,47,9.0,99.0,36.4,,,,,,,,
AK,4,2014,49,9.0,99.0,28.9,,,,,,,,
AK,5,2014,69,54.0,99.0,30.1,,,,,,,,
AK,6,2014,66,56.0,99.0,24.1,,,,,,,,
AK,7,2014,76,62.0,99.0,24.1,,,,,,,,
AK,8,2014,69,63.0,99.0,27.7,,,,,,,,
AK,9,2014,68,58.0,99.0,32,,,,,,,,
AK,10,2014,56,9.0,97.0,41.2,,,,,,,,
AK,11,2014,53,9.0,99.0,38.4,,,,,,,,
AK,12,2014,50,9.0,99.0,35.3,,,,,,,,
AK,1,2015,50,9.0,99.0,33.3,,,,,,,,
AK,2,2015,49,,,38.2,,,,,,,,
AK,3,2015,48,9.0,98.0,30.6,,,,,,,,
AK,4,2015,51,9.0,99.0,35.8,,,,,,,,
AK,5,2015,70,55.0,99.0,31.1,,,,,,,,
